verbandsnummer;typ;messung_et;abrechnung_et;zaehler_et;mp_et;messung_dt;abrechnung_dt;zaehler_dt;mp_dt;arbeitspreis;grundpreis;vorlaeufig
9900952000002;Haushalt;1.94;8.76;3.61;14.31;1.94;8.76;22.38;33.08;6.46;15;FALSCH
9900953000001;Haushalt;4.15;12.06;7.5;23.71;4.15;12.06;21.1;37.31;6.92;20.34;FALSCH
9900954000000;Haushalt;3.3;14.2;8.5;26;5.7;19.3;28.2;53.2;6.99;47.58;FALSCH
9900955000009;Haushalt;3.3;14.2;8.5;26;5.7;19.3;28.2;53.2;5.97;47.58;FALSCH
9900956000008;Haushalt;3.96;12;7.65;23.61;5.89;12.2;15;33.09;4.37;24;FALSCH
9900957000007;Haushalt;1.55;11.39;9.04;21.98;1.55;11.39;24.02;36.96;5.72;23.4;FALSCH
9900958000006;Haushalt;2.7;11.44;8;22.14;3.3;11.44;26.61;41.35;5.69;22;FALSCH
9900959000005;Haushalt;1.84;10.04;8.88;20.76;1.84;11.24;13.32;26.4;4.47;32.94;FALSCH
9900960000002;Haushalt;1.8;9.9;6;17.7;1.8;9.9;17.5;29.2;5.81;36.6;FALSCH
9900961000001;Haushalt;3.7;11.31;6.2;21.21;3.7;11.31;29.49;44.5;5.41;15;FALSCH
9900963000009;Haushalt;2.35;11.94;7.65;21.94;2.35;11.94;29.95;44.24;6.45;15;FALSCH
9900964000008;Haushalt;3;10.2;6.6;19.8;3;10.2;21.02;34.22;7.23;35;FALSCH
9900965000007;Haushalt;1.57;10.86;4.56;16.99;1.57;10.86;20;32.43;6.21;18;FALSCH
9900966000006;Haushalt;2.04;13.9;7.91;23.85;2.04;13.9;23.74;39.68;6.85;39.7;FALSCH
9900967000005;Haushalt;2.04;11.04;7.08;20.16;2.04;11.04;26.16;39.24;6.53;45.84;FALSCH
9900968000004;Haushalt;3.14;9.04;9.96;22.14;3.14;9.04;34.8;46.98;4.74;15;FALSCH
9900971000009;Haushalt;1.32;12.17;7.26;20.75;1.56;12.17;15.07;28.8;5.64;24.58;FALSCH
9900975000005;Haushalt;2.4;11.4;9.89;23.69;4.8;14.4;19.6;38.8;6.38;35;FALSCH
9900976000004;Haushalt;3.7;11.31;8.5;23.51;3.7;11.31;34.87;49.88;8.16;25;FALSCH
9900977000003;Haushalt;1.32;12.24;8.63;22.19;1.56;12.24;15.77;29.57;6.39;24.84;FALSCH
9900980000008;Haushalt;2.4;9.75;8.5;20.65;3.6;9.75;21;34.35;6.41;15;FALSCH
9900981000007;Haushalt;8.24;8.6;2.99;19.83;8.24;8.6;5.88;22.72;4.64;15;FALSCH
9900982000006;Haushalt;3.48;14.16;5.4;23.04;5.28;14.16;20.28;39.72;4.75;36;FALSCH
9900983000005;Haushalt;4.56;11.04;15.84;31.44;4.56;11.04;15.84;31.44;6.89;26.9;FALSCH
9900984000004;Haushalt;3.6;10.2;7.6;21.4;3.6;10.2;17.76;31.56;4.68;15;FALSCH
9900987000001;Haushalt;1.5;9.3;6.77;17.57;1.5;9.3;8.18;18.98;4.98;35;FALSCH
9900988000000;Haushalt;1.75;7;9;17.75;1.75;7;26;34.75;4.76;30;FALSCH
9900992000004;Haushalt;2;11.8;7.17;20.97;2;11.8;17.05;30.85;5.17;24;FALSCH
9900993000003;Haushalt;2.6;9.2;9;20.8;3;9.2;17;29.2;5.49;12;FALSCH
9901000000001;Haushalt;2.4;10.2;9.48;22.08;3.36;12.72;25.68;41.76;7.82;54.36;FALSCH
9901009000002;Haushalt;2.08;10.3;6.28;18.66;2.08;10.3;19.04;31.42;6.9;45;FALSCH
9901010000009;Haushalt;2.28;8.16;9;19.44;3.48;9.72;23.76;36.96;5.73;47.58;FALSCH
9901012000007;Haushalt;4.2;12;9.57;25.77;4.8;12.2;30.82;47.82;5.95;24;FALSCH
9901014000005;Haushalt;2.3;14;4.9;21.2;2.3;14;14.7;31;5.66;20;FALSCH
9901023000004;Haushalt;2.4;12;7.5;21.9;2.4;12;10.2;24.6;4.1;45;FALSCH
9901028000009;Haushalt;4.56;10.98;8.97;24.51;4.56;10.98;18.05;33.59;4.92;24;FALSCH
9901050000001;Haushalt;1.35;11.73;9.85;22.93;2.03;11.91;19.71;33.65;5.34;0;FALSCH
9901064000005;Haushalt;1.8;14.28;6.36;22.44;1.8;14.28;13.44;29.52;4.56;43.92;FALSCH
9901065000004;Haushalt;1.95;10.39;9.06;21.4;2.6;10.56;32.55;45.71;5.02;18.25;FALSCH
9901066000003;Haushalt;4.02;10.95;9.2;24.17;4.02;10.95;18.4;33.37;4.29;30;FALSCH
9901068000001;Haushalt;2.4;9.6;7.2;19.2;2.4;9.6;18;30;4.25;54;FALSCH
9901087000008;Haushalt;3;8.45;6.36;17.81;4.62;8.59;14.16;27.37;5.51;54;FALSCH
9901099000004;Haushalt;3;11.5;5.5;20;3;11.5;13;27.5;5.13;15;FALSCH
9907000000009;Haushalt;2.25;11.98;8.9;23.13;2.25;11.98;30.95;45.18;7.58;15;FALSCH
9907001000008;Haushalt;3.05;11.68;6.92;21.65;3.05;11.68;14.19;28.92;7.86;25;FALSCH
9907002000007;Haushalt;4.2;12.96;6.48;23.64;6.48;13.2;12.96;32.64;5.66;36;FALSCH
9907006000003;Haushalt;3.46;10;4.3;17.76;4.47;11.5;9.3;25.27;4.22;20.5;FALSCH
9907007000002;Haushalt;4.5;8.67;10.42;23.59;4.5;8.67;10.42;23.59;5.95;17;FALSCH
9907009000000;Haushalt;4.9;11.7;7.9;24.5;9;16.5;12.9;38.4;6.87;26.64;FALSCH
9907010000007;Haushalt;3;12;10;25;3;12;10;25;4.24;0;FALSCH
9907011000006;Haushalt;5.15;11.3;9.05;25.5;8.05;12.2;21.1;41.35;5.07;0;FALSCH
9907012000005;Haushalt;1.18;2.78;1.93;5.89;3.59;2.78;5.21;11.58;3.89;12;FALSCH
9907013000004;Haushalt;1.5;11.82;9.82;23.14;2.25;11.99;19.65;33.89;6.06;24;FALSCH
9907015000002;Haushalt;5.49;12.81;9.15;27.45;9.15;12.81;31.11;53.07;5.4;21.96;FALSCH
9907016000001;Haushalt;4;11.31;4.5;19.81;4;11.31;25.52;40.83;6.12;15;FALSCH
9907018000009;Haushalt;4.2;12;9.5;25.7;4.8;12;14.5;31.3;6.14;0;FALSCH
9907020000005;Haushalt;3;8.68;8;19.68;3;8.68;10.5;22.18;3.76;16;FALSCH
9907021000004;Haushalt;4;9;7.7;20.7;4;9;17;30;3.5;15;FALSCH
9907022000003;Haushalt;3.66;5.55;6.79;16;3.66;5.55;14.52;23.73;4.71;25;FALSCH
9907023000002;Haushalt;3;7;7.8;17.8;3;7;28.04;38.04;4.41;20;WAHR
9907024000001;Haushalt;3.8;12;9.05;24.85;4.5;12.2;26.55;43.25;6.68;24;FALSCH
9907026000009;Haushalt;2.4;9;8;19.4;3.6;9;21;33.6;5.97;24;FALSCH
9907027000008;Haushalt;1.8;14;8.2;24;3.6;14;26.4;44;4.94;30;FALSCH
9907028000007;Haushalt;2;14;8;24;2;14;14;30;6.41;12;FALSCH
9907029000006;Haushalt;3.45;14.11;7.94;25.5;3.45;14.11;16.28;33.84;6.73;20;FALSCH
9907030000003;Haushalt;4.2;12;8.4;24.6;4.2;12;20.2;36.4;5.88;36;FALSCH
9907032000001;Haushalt;3.24;11.4;6.6;21.24;3.24;11.4;18.6;33.24;6.94;33;FALSCH
9907033000000;Haushalt;4.08;9.27;7.13;20.48;8.17;18.55;21.38;48.1;6.05;18;FALSCH
9907035000008;Haushalt;2.04;12;9;23.04;2.04;12;12;26.04;4.98;30;FALSCH
9907037000006;Haushalt;1.7;11.31;5.5;18.51;1.7;11.31;27.86;40.87;5.44;20.45;FALSCH
9907039000004;Haushalt;3.8;12;8.7;24.5;4.5;12.2;30.6;47.3;5.41;24.5;FALSCH
9907040000001;Haushalt;4.2;12;9.6;25.8;4.8;12.2;26.56;43.56;4.4;36;FALSCH
9907042000009;Haushalt;3.84;18.36;8.84;31.04;5.76;18.36;13.26;37.38;7.12;45;FALSCH
9907044000007;Haushalt;1.56;11.28;5.52;18.36;1.56;11.28;27.9;40.74;8.17;20.45;FALSCH
9907045000006;Haushalt;2.4;9;7.8;19.2;2.4;9;18.6;30;5.68;18;FALSCH
9907046000005;Haushalt;1.25;10.05;5.75;17.05;2.5;10.05;20;32.55;6.02;6;FALSCH
9907047000004;Haushalt;2.35;12;8.85;23.2;2.35;12;18.65;33;4.29;15;FALSCH
9907048000003;Haushalt;5.2;12;8;25.2;8;12.2;24;44.2;4.87;15;FALSCH
9907051000008;Haushalt;2.4;9;7.15;18.55;2.4;9;18;29.4;5.27;21;WAHR
9907052000007;Haushalt;1.56;11.28;5.04;17.88;1.56;11.28;26.76;39.6;6.68;24;FALSCH
