PLZ;Ort;Netzbetreiber;Grundpreis (Euro/Jahr);ArbeitspreisHT (ct/kWh);Messstellenbetrieb (Euro/Jahr);Konzessionsabgabe (ct/kWh);Verbandsnummer
89407;Dillingen. ;Donau-Stadtwerke Dillingen-Lauingen;12;6.59;11.2;1.32;9901050000001
89407;Dillingen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89353;Glött. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89423;Gundelfingen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89423;Gundelfingen. ;Netzgesellschaft Ostwürttemberg DonauRies GmbH;80.3;5.22;10.68;1.32;9901010000009
89437;Haunsheim. ;Netzgesellschaft Ostwürttemberg DonauRies GmbH;80.3;5.22;10.68;1.32;9901010000009
89420;Höchstädt. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89438;Holzheim. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
86502;Laugna. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89415;Lauingen. ;Donau-Stadtwerke Dillingen-Lauingen;12;6.59;11.2;1.32;9901050000001
89415;Lauingen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89415;Lauingen. ;Netzgesellschaft Ostwürttemberg DonauRies GmbH;80.3;5.22;10.68;1.32;9901010000009
89440;Lutzingen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89426;Mödingen. ;Netzgesellschaft Ostwürttemberg DonauRies GmbH;80.3;5.22;10.68;1.32;9901010000009
89435;Finningen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
89441;Medlingen. ;Netzgesellschaft Ostwürttemberg DonauRies GmbH;80.3;5.22;10.68;1.32;9901010000009
89443;Schwenningen. ;LEW Verteilnetz GmbH;65.7;5.73;13.03;1.32;9900027000002
